ProductId,ProductName,Supplier,ProductCost
1,Chocolate Bar - Smarties,National Stores,1.25
2,Pepper - Red Bell,Family Dollar,2.99
3,Chickensplit Half,BJ's Wholesale Club,0.17
4,Zucchini - Green,Ocean State Job Lot,5.28
5,"Cod - Salted, Boneless",Ollie's Bargain Outlet,0.78
6,Flower - Dish Garden,BJ's Wholesale Club,0.37
7,"Beef - Rouladin, Sliced",BJ's Wholesale Club,1.55
8,"Cheese - Brie, Cups 125g",Costco,1.49
9,Clam - Cherrystone,Fred's,2.33
10,Coffee Cup 8oz 5338cd,Big Lots,0.1
11,Sprouts - Alfalfa,HomeGoods,0.88
12,Flour - Semolina,HomeGoods,2.94
13,Monkfish - Fresh,Ben Franklin,1.22
14,Pepper - Green Thai,Ollie's Bargain Outlet,1.52
15,Oranges,Burlington Coat Factory,5.76
16,"Beef - Tenderlion, Center Cut",Ocean State Job Lot,1.05
17,"Octopus - Baby, Cleaned",Renys,0.34
18,Rootbeer,Gabe's,1.03
19,Water - Tonic,Meijer,0.14
20,Longos - Chicken Caeser Salad,HomeGoods,3.87
21,Hummus - Spread,Dd's Discounts,2.45
22,Curry Powder,Ollie's Bargain Outlet,1.56
23,"Bread - Crumbs, Bulk",Gordmans,0.43
24,Lamb - Loin Chops,Target,1.79
25,Coffee Cup 16oz Foam,Family Dollar,4.83
26,Towel Dispenser,Fred's,0.36
27,Muskox - French Rack,Ross Stores,0.59
28,Soup - Campbells Asian Noodle,Tuesday Morning,0.35
29,Soup - Base Broth Beef,Walmart,2.51
30,Cake - Lemon Chiffon,Dollar General,2.2
31,Onions - Red Pearl,Ben Franklin,0.96
32,Green Tea Refresher,Dd's Discounts,2.54
33,"Rum - Coconut, Malibu",Ben Franklin,1.84
34,Bagel - Everything,Dd's Discounts,2.27
35,Trueblue - Blueberry 12x473ml,Harbor Freight Tools,2.22
36,Cheese - St. Andre,Family Dollar,2.42
37,Wine - Mondavi Coastal Private,National Stores,0.88
38,Rice Wine - Aji Mirin,Gabe's,1.23
39,"Vodka - Hot, Lnferno",Renys,7.08
40,Tarragon - Fresh,Dollar General,4.23
41,Lobster - Cooked,Harbor Freight Tools,0.79
42,"Lemonade - Kiwi, 591 Ml",Stein Mart,4.24
43,Crackers Cheez It,Gordmans,1.61
44,Pomello,Marshalls,1.36
45,Rabbit - Whole,Burlington Coat Factory,3.2
46,Wine - Vovray Sec Domaine Huet,Stein Mart,2.01
47,Monkfish - Fresh,Five Below,3.26
48,Appetizer - Escargot Puff,Dd's Discounts,0.94
49,Mustard Prepared,Roses,0.53
50,Sherry - Dry,HomeSense,2.36
51,Wine - Penfolds Koonuga Hill,HomeGoods,2.18
52,"Sparkling Wine - Rose, Freixenet",Marshalls,6.05
53,Peppercorns - Green,Fred Meyer,1.76
54,"Arctic Char - Fresh, Whole",Shopko,2.25
55,Cilantro / Coriander - Fresh,Costco,2.56
56,Ecolab - Solid Fusion,National Stores,3.99
57,Spinach - Frozen,Ross Stores,0.6
58,Potatoes - Mini White 3 Oz,Big Lots,1.21
59,Beets - Mini Golden,Family Dollar,1.76
60,"Lemonade - Strawberry, 591 Ml",Renys,1.81
61,"Rum - Cream, Amarula",Dd's Discounts,2.52
