Week,C,Bash,BASIC,COBOL,Ruby,Rust,R,Objective-C,Nim,C#,Python,JavaScript,Java,Julia,Go
2015-05-31,84,17,15,3,16,1,45,4,1,93,25,43,99,1,4
2015-06-07,86,17,15,3,16,1,45,5,1,94,25,44,100,1,4
2015-06-14,85,17,15,3,16,1,44,5,1,93,24,44,99,1,4
2015-06-21,84,17,14,3,15,1,43,4,1,93,25,44,96,1,4
2015-06-28,83,16,13,3,16,1,43,4,1,89,24,41,96,1,4
2015-07-05,81,17,13,3,16,1,43,4,1,89,24,42,96,1,4
2015-07-12,82,17,12,3,15,1,45,4,1,90,24,43,99,1,4
2015-07-19,80,16,13,3,16,1,45,4,1,90,25,43,96,1,4
2015-07-26,81,17,12,3,16,1,43,4,1,88,24,43,94,1,4
2015-08-02,84,16,12,3,14,1,42,4,1,87,23,42,93,1,4
2015-08-09,83,16,13,3,15,1,43,4,1,85,23,41,91,1,4
2015-08-16,85,16,13,3,15,1,44,4,1,88,23,41,92,1,4
2015-08-23,86,17,13,3,15,1,43,4,1,87,25,42,92,1,4
2015-08-30,89,17,13,3,15,1,42,4,1,85,25,40,96,1,4
2015-09-06,94,16,15,3,14,1,44,4,1,89,26,42,97,1,4
2015-09-13,93,17,15,3,15,1,45,4,1,89,27,42,95,1,4
2015-09-20,92,17,15,3,14,1,46,4,1,88,27,42,94,1,4
2015-09-27,93,17,15,3,15,1,44,4,1,87,27,42,95,1,4
2015-10-04,99,17,15,3,15,1,46,4,1,91,27,43,97,1,4
2015-10-11,100,17,15,3,15,1,47,4,1,92,28,43,97,1,4
2015-10-18,94,18,15,3,15,1,46,4,1,92,28,43,98,1,4
2015-10-25,97,17,15,3,15,1,46,4,1,92,27,43,98,1,4
2015-11-01,96,18,15,3,15,1,47,4,1,92,28,44,97,1,4
2015-11-08,88,17,14,2,15,1,46,4,1,85,27,41,90,1,4
2015-11-15,95,17,15,3,15,1,47,4,1,91,29,43,94,1,4
2015-11-22,92,16,14,3,13,1,44,4,1,87,26,42,90,1,4
